"Seq","Name","Amount*","Remarks","Collection","Assign. No.","Date","Terms","Approval","Description","TS Status","Account No.","Cust PO","Status","Reference","Disc%","Freight*","Balance*","Due Date","Discount*","Type","Other*","Division","Aging","Past Due Status","Due Days","Charge Back No.","Salesperson","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Factor","Assign. Date","Reason","Ship-To","Cust ChgBack No.","Trail","Manifest","Rank","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"113","BOSCOVS","360.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101318","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002537","","101318","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","DE","","",
"114","BOSCOVS","360.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101319","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002538","","101319","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","NY","","",
"115","BOSCOVS","540.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101320","  .00%",".00","540.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002539","","101320","G332","","01/03/14","VENDOR PORTAL","   144","    12","170596","540.00","    .00",".00","000025","","","PA","","",
"116","BOSCOVS","495.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101321","  .00%",".00","495.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002541","","101321","G332","","01/03/14","VENDOR PORTAL","   132","    11","170596","495.00","    .00",".00","000025","","","DE","","",
"117","BOSCOVS","360.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101322","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002542","","101322","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","PA","","",
"118","BOSCOVS","675.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101323","  .00%",".00","675.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002543","","101323","G332","","01/03/14","VENDOR PORTAL","   180","    15","170596","675.00","    .00",".00","000025","","","NJ","","",
"119","BOSCOVS","360.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101324","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002544","","101324","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","PA","","",
"120","BOSCOVS","360.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101325","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002545","","101325","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","PA","","",
"121","BOSCOVS","540.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101326","  .00%",".00","540.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002547","","101326","G332","","01/03/14","VENDOR PORTAL","   144","    12","170596","540.00","    .00",".00","000025","","","NJ","","",
"122","BOSCOVS","675.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101327","  .00%",".00","675.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002548","","101327","G332","","01/03/14","VENDOR PORTAL","   180","    15","170596","675.00","    .00",".00","000025","","","NJ","","",
"123","BOSCOVS","540.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101328","  .00%",".00","540.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002549","","101328","G332","","01/03/14","VENDOR PORTAL","   144","    12","170596","540.00","    .00",".00","000025","","","MD","","",
"124","BOSCOVS","360.00","","No collection Info","000128","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101329","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002550","","101329","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","OH","","",
"125","BOSCOVS","495.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101330","  .00%",".00","495.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002551","","101330","G332","","01/03/14","VENDOR PORTAL","   132","    11","170596","495.00","    .00",".00","000025","","","MD","","",
"126","BOSCOVS","675.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101331","  .00%",".00","675.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002552","","101331","G332","","01/03/14","VENDOR PORTAL","   180","    15","170596","675.00","    .00",".00","000025","","","PA","","",
"127","BOSCOVS","675.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101332","  .00%",".00","675.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002553","","101332","G332","","01/03/14","VENDOR PORTAL","   180","    15","170596","675.00","    .00",".00","000025","","","PA","","",
"128","BOSCOVS","540.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101333","  .00%",".00","540.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002554","","101333","G332","","01/03/14","VENDOR PORTAL","   144","    12","170596","540.00","    .00",".00","000025","","","NJ","","",
"129","BOSCOVS","540.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101334","  .00%",".00","540.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002555","","101334","G332","","01/03/14","VENDOR PORTAL","   144","    12","170596","540.00","    .00",".00","000025","","","NJ","","",
"130","BOSCOVS","360.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101335","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002556","","101335","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","PA","","",
"131","BOSCOVS","360.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101336","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002557","","101336","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","PA","","",
"132","BOSCOVS","675.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101337","  .00%",".00","675.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002558","","101337","G332","","01/03/14","VENDOR PORTAL","   180","    15","170596","675.00","    .00",".00","000025","","","PA","","",
"133","BOSCOVS","675.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101338","  .00%",".00","675.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002559","","101338","G332","","01/03/14","VENDOR PORTAL","   180","    15","170596","675.00","    .00",".00","000025","","","PA","","",
"134","BOSCOVS","675.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101339","  .00%",".00","675.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002560","","101339","G332","","01/03/14","VENDOR PORTAL","   180","    15","170596","675.00","    .00",".00","000025","","","NJ","","",
"135","BOSCOVS","495.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101340","  .00%",".00","495.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002561","","101340","G332","","01/03/14","VENDOR PORTAL","   132","    11","170596","495.00","    .00",".00","000025","","","PA","","",
"136","BOSCOVS","495.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101341","  .00%",".00","495.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002562","","101341","G332","","01/03/14","VENDOR PORTAL","   132","    11","170596","495.00","    .00",".00","000025","","","NY","","",
"137","BOSCOVS","360.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101342","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002563","","101342","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","PA","","",
"138","BOSCOVS","360.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101343","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002564","","101343","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","PA","","",
"139","BOSCOVS","360.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101344","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002565","","101344","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","PA","","",
"140","BOSCOVS","360.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101345","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002566","","101345","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","NY","","",
"141","BOSCOVS","540.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101346","  .00%",".00","540.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002567","","101346","G332","","01/03/14","VENDOR PORTAL","   144","    12","170596","540.00","    .00",".00","000025","","","DE","","",
"142","BOSCOVS","495.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101347","  .00%",".00","495.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002568","","101347","G332","","01/03/14","VENDOR PORTAL","   132","    11","170596","495.00","    .00",".00","000025","","","NJ","","",
"143","BOSCOVS","360.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101348","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002569","","101348","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","NJ","","",
"144","BOSCOVS","360.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101349","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002570","","101349","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","PA","","",
"145","BOSCOVS","360.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101350","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002571","","101350","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","MD","","",
"146","BOSCOVS","360.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101351","  .00%",".00","360.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002572","","101351","G332","","01/03/14","VENDOR PORTAL","    96","     8","170596","360.00","    .00",".00","000025","","","MD","","",
"147","BOSCOVS","495.00","","No collection Info","000129","01/03/2014","NET 30","807276","","Shipped","BS0001","687278","Open","101352","  .00%",".00","495.00","02/02/2014",".00","Invoice",".00","PB","23","1 to 30"," 30","","AF","12/13","","","","","","W","01/06/2014","","002573","","101352","G332","","01/03/14","VENDOR PORTAL","   132","    11","170596","495.00","    .00",".00","000025","","","PA","","",
"148","BROADWAY KC CORP # 2","84.00","","No collection Info","000117","12/09/2013","NET 10 EOM + 30","783638","","Shipped","BWK001","16879","Open","101175","  .00%",".00","84.00","01/30/2014",".00","Invoice",".00","PB","26","1 to 30"," 20","","EE","12/13","","","","","","W","12/17/2013","","BWK001","","101175","G303","","12/09/13","CALL TO ROUTE","    24","     2","MULTI","84.00","    .00",".00","","","","NY","","",
"149","BABYLON KIDS #23","84.00","","No collection Info","000117","12/09/2013","NET 10 EOM + 30","783637","","Shipped","BY0001","16879","Open","101176","  .00%",".00","84.00","01/30/2014",".00","Invoice",".00","PB","26","1 to 30"," 20","","EE","12/13","","","","","","W","12/17/2013","","BY0001","","101176","G303","","12/09/13","CALL TO ROUTE","    24","     2","MULTI","84.00","    .00",".00","","","","NY","","",
"150","CEDAR KIDS LLC #33","42.00","","No collection Info","000117","12/09/2013","NET 10 EOM + 30","791590","","Shipped","CD0001","16879","Open","101177","  .00%",".00","42.00","01/30/2014",".00","Invoice",".00","PB","26","1 to 30"," 20","","EE","12/13","","","","","","W","12/17/2013","","CD0001","","101177","G303","","12/09/13","CALL TO ROUTE","    12","     1","MULTI","42.00","    .00",".00","","","","PA","","",
"151","CENTURY 21 DEPT STOR","1,560.00","","No collection Info","000161","02/10/2014","NET 30","555211","","Shipped","CE0001","243099","Open","101491","  .00%",".00","1,560.00","03/12/2014",".00","Invoice",".00","PB","","Current"," 30","","AF","01/14","","","","","","W","02/11/2014","","CE0001","","101491","G377","","02/10/14","CALL TO ROUTE","   480","    40","179404","1,560.00","    .00",".00","","","","NJ","","",
"152","CITITRENDS FASHIONS","1,800.00","","No collection Info","000138","01/14/2014","ROG + 60","834204","","Shipped","CI0001","75367","Open","101438","  .00%",".00","1,800.00","03/15/2014",".00","Invoice",".00","PB","","Current"," 60","","AF","01/14","","","","","","W","01/23/2014","","CI0001","","101438","G346","","01/21/14","CALL TO ROUTE","   360","    30","175619","1,800.00","    .00",".00","","","","GA","","",
"153","CITITRENDS FASHIONS","1,440.00","","No collection Info","000155","02/05/2014","ROG + 60","834205","","Shipped","CI0001","76373","Open","101492","  .00%",".00","1,440.00","04/11/2014",".00","Invoice",".00","PB","","Current"," 65","","AF","01/14","","","","","","W","02/06/2014","","CI0001","","101492","G366","","02/05/14","Vendor Portal","   360","    30","179405","1,440.00","    .00",".00","","","","GA","","",
"154","COOKIES DEPT. STORES","511.20","","No collection Info","000178","02/20/2014","1% 10 EOM + 30","783376","","Shipped","CK0001","608727","Open","101493"," 1.00%",".00","511.20","03/10/2014","5.11","Invoice",".00","PB","","Current","  0","","EE","01/14","","","","","","W","02/24/2014","","CK0005","","101493","G395","","02/20/14","WRAGTIME","    96","     8","17910+","511.20","    .00",".00","","","","NY","","",
"155","COOKIESKIDS.COM INC.","766.80","","No collection Info","000178","02/20/2014","1% 10 EOM + 30","783371","","Shipped","CKC001","608727","Open","101494"," 1.00%",".00","766.80","03/10/2014","7.67","Invoice",".00","PB","","Current","  0","","EE","01/14","","","","","","W","02/24/2014","","CKC001","","101494","G395","","02/20/14","WRAGTIME","   144","    12","02-1168865","766.80","    .00",".00","","","","NY","","",
"156","COOKIE'S ON MELROSE","383.40","","No collection Info","000178","02/20/2014","1% 10 EOM + 30","783373","","Shipped","CM0001","608727","Open","101495"," 1.00%",".00","383.40","03/10/2014","3.83","Invoice",".00","PB","","Current","  0","","EE","01/14","","","","","","W","02/24/2014","","CM0001","","101495","G395","","02/20/14","WRAGTIME","    72","     6","02-1168865","383.40","    .00",".00","","","","NY","","",
"157","CONWAY","287.50","AS PER ELI, $8 PER CTN FOR FREIGHT","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100623","  .00%","24.00","287.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000481","","100623","G180","","10/18/13","CALL TO ROUTE","    31","     3","376317","287.50","  24.00",".00","","","","NY","","",
"158","CONWAY","177.50","AS PER ELI, CHARGE $8 PER CTN FOR FRGHT","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100624","  .00%","16.00","177.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000482","","100624","G180","","10/18/13","CALL TO ROUTE","    19","     2","376317","177.50","  16.00",".00","","","","NJ","","",
"159","CONWAY","287.50","AS PER ELI, $8/CTN FOR FREIGHT.","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100625","  .00%","24.00","287.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000483","","100625","G180","","10/18/13","CALL TO ROUTE","    31","     3","376317","287.50","  24.00",".00","","","","NY","","",
"160","CONWAY","211.50","AS PER ELI, $8/CTN FOR FREIGHT","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100626","  .00%","16.00","211.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000484","","100626","G180","","10/18/13","CALL TO ROUTE","    23","     2","376317","211.50","  16.00",".00","","","","NY","","",
"161","CONWAY","287.50","AS PER ELI, $8/CTN FOR FREIGHT","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100627","  .00%","24.00","287.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000485","","100627","G180","","10/18/13","CALL TO ROUTE","    31","     3","376317","287.50","  24.00",".00","","","","NY","","",
"162","CONWAY","186.00","AS PER ELI, $8/CTN FOR FREIGHT.","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100628","  .00%","16.00","186.00","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000486","","100628","G180","","10/18/13","CALL TO ROUTE","    20","     2","376317","186.00","  16.00",".00","","","","NJ","","",
"163","CONWAY","211.50","AS PER ELI, $8/CTN FOR FREIGHT","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100629","  .00%","16.00","211.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000487","","100629","G180","","10/18/13","CALL TO ROUTE","    23","     2","376317","211.50","  16.00",".00","","","","NY","","",
"164","CONWAY","211.50","AS PER ELI, $8/CTN FOR FREIGHT","No collection Info","","10/18/2013","CBD","APRVD BY D","","Shipped","CN0001","376317","Open","100630","  .00%","16.00","211.50","10/18/2013",".00","Invoice",".00","PB","130","121 to 150","  0","","MC","08/13","","","","","","W","","","000488","","100630","G180","","10/18/13","CALL TO ROUTE","    23","     2","376317","211.50","  16.00",".00","","","","NY","","",
"165","CONWAY","211.50","AS PER ELI, $8/CTN FOR FREIGHT","No collection Info","","10/18/2013","CBD","APRVD BY D","","Shipped","CN0001","376317","Open","100631","  .00%","16.00","211.50","10/18/2013",".00","Invoice",".00","PB","130","121 to 150","  0","","MC","08/13","","","","","","W","","","000489","","100631","G180","","10/18/13","CALL TO ROUTE","    23","     2","376317","211.50","  16.00",".00","","","","NY","","",
"166","CONWAY","177.50","AS PER ELI, $8/CTN FOR FREIGHT","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100632","  .00%","16.00","177.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000490","","100632","G180","","10/18/13","CALL TO ROUTE","    19","     2","376317","177.50","  16.00",".00","","","","PA","","",
"167","CONWAY","186.00","AS PER ELI, $8/CTN FOR FREIGHT","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100633","  .00%","16.00","186.00","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000491","","100633","G180","","10/18/13","CALL TO ROUTE","    20","     2","376317","186.00","  16.00",".00","","","","PA","","",
"168","CONWAY","211.50","AS PER ELI, $8/CTN FOR FREIGHT","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100634","  .00%","16.00","211.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000492","","100634","G180","","10/18/13","CALL TO ROUTE","    23","     2","376317","211.50","  16.00",".00","","","","PA","","",
"169","CONWAY","287.50","AS PER ELI, $8/CTN FOR FREIGHT","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100635","  .00%","24.00","287.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000493","","100635","G180","","10/18/13","CALL TO ROUTE","    31","     3","376317","287.50","  24.00",".00","","","","NY","","",
"170","CONWAY","186.00","AS PER ELI, $8/CTN FOR FREIGHT","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100636","  .00%","16.00","186.00","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000494","","100636","G180","","10/18/13","CALL TO ROUTE","    20","     2","376317","186.00","  16.00",".00","","","","PA","","",
"171","CONWAY","330.00","AS PER ELI, $8/CTN FOR FREIGHT","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100637","  .00%","24.00","330.00","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000495","","100637","G180","","10/18/13","CALL TO ROUTE","    36","     3","376317","330.00","  24.00",".00","","","","NJ","","",
"172","CONWAY","161.50","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100638","  .00%",".00","161.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000496","","100638","G179","","10/18/13","CALL TO ROUTE","    19","     2","43140","161.50","    .00",".00","","","","OH","","",
"173","CONWAY","289.00","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100639","  .00%",".00","289.00","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000497","","100639","G179","","10/18/13","CALL TO ROUTE","    34","     2","43140","289.00","    .00",".00","","","","OH","","",
"174","CONWAY","382.50","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100640","  .00%",".00","382.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000498","","100640","G179","","10/18/13","CALL TO ROUTE","    45","     3","43140","382.50","    .00",".00","","","","IL","","",
"175","CONWAY","238.00","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100641","  .00%",".00","238.00","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000499","","100641","G179","","10/18/13","CALL TO ROUTE","    28","     2","43140","238.00","    .00",".00","","","","IL","","",
"176","CONWAY","212.50","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100642","  .00%",".00","212.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000500","","100642","G179","","10/18/13","CALL TO ROUTE","    25","     2","43140","212.50","    .00",".00","","","","IL","","",
"177","CONWAY","238.00","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100643","  .00%",".00","238.00","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000501","","100643","G179","","10/18/13","CALL TO ROUTE","    28","     2","43140","238.00","    .00",".00","","","","IL","","",
"178","CONWAY","238.00","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100644","  .00%",".00","238.00","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000502","","100644","G179","","10/18/13","CALL TO ROUTE","    28","     2","43140","238.00","    .00",".00","","","","VA","","",
"179","CONWAY","212.50","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100645","  .00%",".00","212.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000503","","100645","G179","","10/18/13","CALL TO ROUTE","    25","     2","43140","212.50","    .00",".00","","","","SC","","",
"180","CONWAY","170.00","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100646","  .00%",".00","170.00","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000504","","100646","G179","","10/18/13","CALL TO ROUTE","    20","    13","43140","170.00","    .00",".00","","","","NC","","",
"181","CONWAY","212.50","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100647","  .00%",".00","212.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000505","","100647","G179","","10/18/13","CALL TO ROUTE","    25","     2","43140","212.50","    .00",".00","","","","NC","","",
"182","CONWAY","170.00","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100648","  .00%",".00","170.00","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000506","","100648","G179","","10/18/13","CALL TO ROUTE","    20","    13","43140","170.00","    .00",".00","","","","GA","","",
"183","CONWAY","246.50","","No collection Info","","10/18/2013","NET 60","APRVD BY D","","Shipped","CN0001","376317","Open","100649","  .00%",".00","246.50","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","AF","08/13","","","","","","W","","","000507","","100649","G179","","10/18/13","CALL TO ROUTE","    29","    13","43140","246.50","    .00",".00","","","","GA","","",
