"Seq","Status","TS Status","Account No.","Name","Assign. No.","Amount*","Reference","Date","Cust PO","Terms","Approval","Disc%","Freight*","Balance*","Due Date","Discount*","Type","Other*","Division","Aging","Past Due Status","Due Days","Charge Back No.","Salesperson","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Factor","Assign. Date","Reason","Description","Collection","Ship-To","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"141","Open","Shipped","KD0004","KIDS KINGDOM","000110","842.87","101069","11/07/2013","10313","NET 30","653105","  .00%","167.27","842.87","12/07/2013",".00","Invoice",".00","PB","32","31 to 60"," 30","","EE","11/13","","","","","","W","12/03/2013","","","No collection Info","KD0004","","","101069","G258","","11/07/13","FED-EX GROUND","    90","     9","557841389980","842.87"," 167.27",".00","","557841389980","","NY","","",
"142","Open","Shipped","KG0001","K&G FASHION SUPERSTO","000111","1,260.00","101041","11/05/2013","K05860201","NET 30","250185","  .00%",".00","1,260.00","12/05/2013",".00","Invoice",".00","PB","34","31 to 60"," 30","","EE","10/13","","","","","","W","12/03/2013","","","No collection Info","KG0001","","","101041","G240","","11/05/13","UNITED PARCEL S","   180","    15","MULTI","1,260.00","    .00",".00","000019","1Z4R845R0363305","","TX","","",
"143","Open","Shipped","KG0001","K&G FASHION SUPERSTO","000108","840.00","101042","11/05/2013","K05860301","NET 30","250185","  .00%",".00","840.00","12/05/2013",".00","Invoice",".00","PB","34","31 to 60"," 30","","EE","10/13","","","","","","W","12/03/2013","","","No collection Info","KG0001","","","101042","G240","","11/05/13","UNITED PARCEL S","   120","    10","MULTI","840.00","    .00",".00","000019","1Z4R845R0363263","","TX","","",
"144","Open","Shipped","KK0001","KIDS KLOSET","000108","129.50","100685","11/07/2013","031013B","NET 30","392871","  .00%","12.50","129.50","12/07/2013",".00","Invoice",".00","PB","32","31 to 60"," 30","","JC","08/13","","","","","","W","12/03/2013","","","No collection Info","KK0001","","","100685","G258","","11/07/13","CALL TO ROUTE","     6","     1","","129.50","  12.50",".00","","557841389751","","NE","","",
"145","Open","Shipped","KO0001","OK KIDS","000052","9,168.00","100318","08/14/2013","082213","NET 30","","  .00%",".00","9,168.00","09/13/2013",".00","Invoice",".00","PB","117","91 to 120"," 30","","EE","08/13","","","","","","W","10/01/2013","","","No collection Info","KO0001",""," Adjust qty shipped 900063 Adjust qty sh","100318","G67","","08/14/13","call to route","  1656","   138","301390","8,435.04","    .00","732.96","","","","CN","","",
"146","Open","Shipped","KO0001","OK KIDS","000048","6,360.00","100319","08/17/2013","082213","NET 30","","  .00%",".00","6,360.00","09/16/2013",".00","Invoice",".00","PB","114","91 to 120"," 30","","EE","08/13","","","","","","W","09/27/2013","","","No collection Info","KO0001","","","100319","G65","","08/17/13","call to route","  2040","   170","301390","6,360.00","    .00",".00","","","","CN","","",
"147","Open","Shipped","KO0001","OK KIDS","000048","6,000.00","100320","08/19/2013","082213","NET 30","","  .00%",".00","6,000.00","09/18/2013",".00","Invoice",".00","PB","112","91 to 120"," 30","","EE","08/13","","","","","","W","09/27/2013","","","No collection Info","KO0001","","","100320","G66","","08/19/13","call to route","  1200","   100","301391","6,000.00","    .00",".00","","","","CN","","",
"148","Open","Shipped","KO0001","OK KIDS","000048","4,800.00","100321","08/21/2013","082213","NET 30","","  .00%",".00","4,800.00","09/20/2013",".00","Invoice",".00","PB","110","91 to 120"," 30","","EE","08/13","","","","","","W","09/27/2013","","","No collection Info","KO0001","","","100321","G68","","08/21/13","call to route","  1200","   100","301392","4,800.00","    .00",".00","","","","CN","","",
"149","Open","Shipped","KO0001","OK KIDS","000048","4,212.00","100322","09/09/2013","082213","NET 30","","  .00%",".00","4,212.00","10/09/2013",".00","Invoice",".00","PB","91","61 to 90"," 30","","EE","08/13","","","","","","W","09/27/2013","","","No collection Info","KO0001","","","100322","G69","","09/09/13","call to route","   672","    56","301397","4,212.00","    .00",".00","","","","CN","","",
"150","Open","Shipped","KO0001","OK KIDS","000076","9,036.00","100973","10/23/2013","DIRECT082213","CBD","","  .00%",".00","9,036.00","10/23/2013",".00","Invoice",".00","PB","77","61 to 90","  0","","EE","10/13","","","","","","W","10/25/2013","","","No collection Info","KO0001","","","100973","G194","","10/23/13"," 301408","  1800","   150","TCLU8364943","9,036.00","    .00",".00","","","","CN","","",
"151","Open","Shipped","KO0001","OK KIDS","000101","6,157.20","101108","11/11/2013","DIRECT082213","CBD","","  .00%",".00","6,157.20","11/11/2013",".00","Invoice",".00","PB","58","31 to 60","  0","","EE","11/13","","","","","","W","11/19/2013","","","No collection Info","KO0001","","","101108","G01","","11/11/13","DIRECT","  1272","   106","","6,157.20","    .00",".00","","","","CN","","",
"152","Open","Shipped","LI0002","LIEBMANS","000108","437.30","100294","09/13/2013","071120133","NET 30","215510","  .00%","29.30","437.30","09/13/2013",".00","Invoice",".00","PB","117","91 to 120","  0","","EE","08/13","","","","","","W","12/03/2013","","","No collection Info","LI0002","","","100294","G35","","09/20/13","","    24","     2","711120133","437.30","  29.30",".00","","","","NY","","",
"153","Open","Shipped","LI0002","LIEBMANS","000108","130.09","100292","09/20/2013","07112013","NET 30","215510","  .00%","14.89","130.09","09/20/2013",".00","Invoice",".00","PB","110","91 to 120","  0","","EE","08/13","","","","","","W","12/03/2013","","","No collection Info","LI0002","","","100292","G24","","09/20/13","","     6","     1","07112013","130.09","  14.89",".00","","","","NY","","",
"154","Open","Shipped","LI0002","LIEBMANS","000108","319.58","100293","09/20/2013","071120132","NET 30","215510","  .00%","31.58","319.58","09/20/2013",".00","Invoice",".00","PB","110","91 to 120","  0","","EE","08/13","","","","","","W","12/03/2013","","","No collection Info","LI0002","","","100293","G30","","09/20/13","","    24","     2","711120132","319.58","  31.58",".00","","","","NY","","",
"155","Open","Shipped","LI0002","LIEBMANS","000108","597.67","100564","09/26/2013","07112013","NET 30","215510","  .00%","79.27","597.67","10/26/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","EE","08/13","","","","","","W","12/03/2013","","","No collection Info","LI0002","","","100564","G54","","09/26/13","FEDEX GROUND","    30","     5","07112013","597.67","  79.27",".00","","","","NY","","",
"156","Open","Shipped","LI0002","LIEBMANS","000108","1,007.88","100565","09/26/2013","071120133","Net 30","215510","  .00%","71.88","1,007.88","10/26/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","EE","08/13","","","","","","W","12/03/2013","","","No collection Info","LI0002","","","100565","G56","","09/26/13","FEDEX GROUND","    48","     4","","1,007.88","  71.88",".00","","557841383709","","NY","","",
"157","Open","Shipped","LI0002","LIEBMANS","000108","852.06","100566","09/26/2013","071120134","Net 30","215510","  .00%","45.66","852.06","10/26/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","EE","08/13","","","","","","W","12/03/2013","","","No collection Info","LI0002","","","100566","G57","","09/26/13","FEDEX GROUND","    24","     3","","852.06","  45.66",".00","","","","NY","","",
"158","Open","Shipped","LI0002","LIEBMANS","000108","129.85","100811","10/16/2013","07112013","NET 30","215510","  .00%","14.65","129.85","11/15/2013",".00","Invoice",".00","PB","54","31 to 60"," 30","","EE","10/13","","","","","","W","12/03/2013","","","No collection Info","LI0002","","","100811","G173","","10/16/13","FEDEX GROUND","     6","     1","","129.85","  14.65",".00","","557841384337","","NY","","",
"159","Open","Shipped","LI0002","LIEBMANS","000108","1,077.48","100812","10/25/2013","071120133","NET 30","215510","  .00%","105.48","1,077.48","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 30","","EE","10/13","","","","","","W","12/03/2013","","","No collection Info","LI0002","","","100812","G222","","10/25/13","FEDEX GROUND","    72","     6","","1,077.48"," 105.48",".00","","","","NY","","",
"160","Open","Shipped","LI0002","LIEBMANS","000108","567.28","100813","10/25/2013","071120134","Net 30","215510","  .00%","31.78","567.28","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 30","","EE","10/13","","","","","","W","12/03/2013","","","No collection Info","LI0002","","","100813","G230","","10/25/13","FEDEX GROUND","    18","     2","","567.28","  31.78",".00","","557841384874","","NY","","",
"161","Open","Shipped","LO0001","LORD AND TAYLOR","000083","81.00","100784","10/16/2013","953981110082","NET 30","497488","  .00%",".00","81.00","11/15/2013",".00","Invoice",".00","PB","54","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001438","","","100784","G171","","10/16/13","VENDOR PORTAL","     6","     1","149503","81.00","    .00",".00","000014","","","PA","","",
"162","Open","Shipped","LO0001","LORD AND TAYLOR","000084","138.24","100868","10/18/2013","953909850082","NET 30","376672","  .00%",".00","138.24","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001455","","","100868","G178","","10/18/13","VENDOR PORTAL","     9","     1","151502","138.24","    .00",".00","000015","","","PA","","",
"163","Open","Shipped","LO0001","LORD AND TAYLOR","000085","345.60","100876","10/18/2013","953909850082","NET 30","376672","  .00%",".00","345.60","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001472","","","100876","G178","","10/18/13","VENDOR PORTAL","    18","     2","151502","345.60","    .00",".00","000015","","","PA","","",
"164","Open","Shipped","LO0001","LORD AND TAYLOR","000085","345.60","100886","10/18/2013","953909850082","NET 30","376672","  .00%",".00","345.60","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001481","","","100886","G178","","10/18/13","VENDOR PORTAL","    18","     2","151502","345.60","    .00",".00","000015","","","PA","","",
"165","Open","Shipped","LO0001","LORD AND TAYLOR","000085","622.08","100887","10/18/2013","953909850082","NET 30","497488","  .00%",".00","622.08","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001482","","","100887","G178","","10/18/13","VENDOR PORTAL","    27","     3","151502","622.08","    .00",".00","000015","","","PA","","",
"166","Open","Shipped","LO0001","LORD AND TAYLOR","000085","342.84","100888","10/18/2013","953987230082","NET 30","497488","  .00%",".00","342.84","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001482","","","100888","G178","","10/18/13","VENDOR PORTAL","    24","     3","151502","342.84","    .00",".00","000015","","","PA","","",
"167","Open","Shipped","LO0001","LORD AND TAYLOR","000085","182.40","100889","10/18/2013","954225150082","NET 30","497488","  .00%",".00","182.40","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001482","","","100889","G178","","10/18/13","VENDOR PORTAL","    12","     2","151502","182.40","    .00",".00","000015","","","PA","","",
"168","Open","Shipped","LO0001","LORD AND TAYLOR","000086","622.08","100890","10/18/2013","953909850082","NET 30","497488","  .00%",".00","622.08","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001483","","","100890","G178","","10/18/13","VENDOR PORTAL","    27","     3","151502","622.08","    .00",".00","000015","","","PA","","",
"169","Open","Shipped","LO0001","LORD AND TAYLOR","000086","138.24","100891","10/18/2013","953909850082","NET 30","376672","  .00%",".00","138.24","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001486","","","100891","G178","","10/18/13","VENDOR PORTAL","     9","     1","151502","138.24","    .00",".00","000015","","","PA","","",
"170","Open","Shipped","LO0001","LORD AND TAYLOR","000086","138.24","100892","10/18/2013","953909850082","NET 30","376672","  .00%",".00","138.24","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001487","","","100892","G178","","10/18/13","VENDOR PORTAL","     9","     1","151502","138.24","    .00",".00","000015","","","PA","","",
"171","Open","Shipped","LO0001","LORD AND TAYLOR","000086","182.40","100893","10/18/2013","954225150082","NET 30","497488","  .00%",".00","182.40","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001487","","","100893","G178","","10/18/13","VENDOR PORTAL","    12","     2","151502","182.40","    .00",".00","000015","","","PA","","",
"172","Open","Shipped","LO0001","LORD AND TAYLOR","000086","138.24","100894","10/18/2013","953909850082","NET 30","376672","  .00%",".00","138.24","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001491","","","100894","G178","","10/18/13","VENDOR PORTAL","     9","     1","151502","138.24","    .00",".00","000015","","","PA","","",
"173","Open","Shipped","LO0001","LORD AND TAYLOR","000086","138.24","100895","10/18/2013","953909850082","NET 30","376672","  .00%",".00","138.24","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001505","","","100895","G178","","10/18/13","VENDOR PORTAL","     9","     1","151502","138.24","    .00",".00","000015","","","PA","","",
"174","Open","Shipped","LO0001","LORD AND TAYLOR","000086","547.20","100896","10/18/2013","953987800082","NET 30","497488","  .00%",".00","547.20","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001528","","","100896","G178","","10/18/13","VENDOR PORTAL","    36","     6","151502","547.20","    .00",".00","000015","","","PA","","",
"175","Open","Shipped","MA0001","THE MARMAXX GROUP","000035","13,094.40","100264","09/18/2013","827252","NET 30","342795","  .00%",".00","13,094.40","10/18/2013",".00","Invoice",".00","PB","82","61 to 90"," 30","","AF","08/13","","","","","","W","09/18/2013","","","No collection Info","MA0001","","","100264","G19","","09/18/13","","  2046","   341","136835","13,094.40","    .00",".00","","","","MA","","",
"176","Open","Shipped","MA0001","THE MARMAXX GROUP","000051","4,416.00","100295","09/26/2013","827252","NET 30","342795","  .00%",".00","4,416.00","10/26/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","AF","08/13","","","","","","W","10/01/2013","","","No collection Info","MA0001","","","100295","G68","","09/26/13","CALL TO ROUTE","   690","   115","137005","4,416.00","    .00",".00","","","","MA","","",
"177","Open","Shipped","MA0001","THE MARMAXX GROUP","000061","34,000.50","100664","10/09/2013","07850634","NET 60","342795","  .00%",".00","34,000.50","12/08/2013",".00","Invoice",".00","PB","31","1 to 30"," 60","","AF","08/13","","","","","","W","10/14/2013","","","No collection Info","MA0887","","","100664","G136","","10/09/13","CALL TO ROUTE","  5598","   933","142673","34,000.50","    .00",".00","","","","GA","","",
"178","Open","Shipped","MA0001","THE MARMAXX GROUP","000075","1,035.00","100718","10/22/2013","01850634","NET 60","342795","  .00%",".00","1,035.00","12/21/2013",".00","Invoice",".00","PB","18","1 to 30"," 60","","AF","10/13","","","","","","W","10/25/2013","","","No collection Info","MA0881","","","100718","G195","","10/22/13","CALL TO ROUTE","   180","    30","147045","1,035.00","    .00",".00","","","","NV","","",
"179","Open","Shipped","MA0001","THE MARMAXX GROUP","000108","4,387.50","101009","10/30/2013","01 879799","NET 60","606402","  .00%",".00","4,387.50","12/29/2013",".00","Invoice",".00","PB","10","1 to 30"," 60","","AF","10/13","","","","","","W","12/03/2013","","","No collection Info","MA0881","","","101009","G237","","10/30/13","CALL TO ROUTE","   702","   117","153026","4,387.50","    .00",".00","","","","NV","","",
"180","Open","Shipped","MA0001","THE MARMAXX GROUP","000100","6,930.00","101068","11/08/2013","919814","NET 60","606042","  .00%",".00","6,930.00","01/08/2014",".00","Invoice",".00","PB","0","Current"," 60","","AF","11/13","","","","","","W","11/14/2013","","","No collection Info","MA0001","","","101068","G267","","11/08/13","CALL TO ROUTE","  1848","   154","154177","6,930.00","    .00",".00","","466585","","PA","","",
"181","Open","Shipped","MC0001","MODECRAFT","000053","5,628.00","100540","10/01/2013","117693801","ROG + 30","342854","  .00%",".00","5,628.00","11/05/2013",".00","Invoice",".00","PB","64","61 to 90"," 35","","AF","08/13","","","","","","W","10/03/2013","","","No collection Info","000691",""," Adjust qty shipped 100540","100540","G95","","10/01/13","CALL TO ROUTE","   804","    67","140188","5,628.00","    .00",".00","","","","CA","","",
"182","Open","Shipped","MC0001","MODECRAFT","000053","6,300.00","100541","10/01/2013","117693802","ROG + 30","342854","  .00%",".00","6,300.00","11/05/2013",".00","Invoice",".00","PB","64","61 to 90"," 35","","AF","08/13","","","","","","W","10/03/2013","","","No collection Info","000691","","","100541","G95","","10/01/13","CALL TO ROUTE","   900","    75","140188","6,300.00","    .00",".00","","463720","","CA","","",
"183","Open","Shipped","MC0001","MODECRAFT","000053","6,300.00","100542","10/01/2013","117693803","ROG + 30","342854","  .00%",".00","6,300.00","11/05/2013",".00","Invoice",".00","PB","64","61 to 90"," 35","","AF","08/13","","","","","","W","10/03/2013","","","No collection Info","000691","","","100542","G95","","10/01/13","CALL TO ROUTE","   900","    75","140188","6,300.00","    .00",".00","","","","CA","","",
"184","Open","Shipped","MC0001","MODECRAFT","000053","11,925.00","100543","10/01/2013","345895002","ROG + 30","342850","  .00%",".00","11,925.00","11/05/2013",".00","Invoice",".00","PB","64","61 to 90"," 35","","AF","08/13","","","","","","W","10/03/2013","","","No collection Info","000691","","","100543","G95","","10/01/13","CALL TO ROUTE","  1908","   159","140188","11,925.00","    .00",".00","","","","CA","","",
"185","Open","Shipped","MC0001","MODECRAFT","000053","3,750.00","100544","10/01/2013","345895003","ROG + 30","342850","  .00%",".00","3,750.00","11/05/2013",".00","Invoice",".00","PB","64","61 to 90"," 35","","AF","08/13","","","","","","W","10/03/2013","","","No collection Info","000691","","","100544","G95","","10/01/13","CALL TO ROUTE","   600","    50","140188","3,750.00","    .00",".00","","","","CA","","",
"186","Open","Shipped","MC0001","MODECRAFT","000053","11,925.00","100545","10/01/2013","345895004","ROG + 30","342850","  .00%",".00","11,925.00","11/05/2013",".00","Invoice",".00","PB","64","61 to 90"," 35","","AF","08/13","","","","","","W","10/03/2013","","","No collection Info","000691","","","100545","G95","","10/01/13","CALL TO ROUTE","  1908","   159","140188","11,925.00","    .00",".00","","","","CA","","",
"187","Open","Shipped","MC0001","MODECRAFT","000053","3,750.00","100546","10/01/2013","345895005","ROG + 30","342850","  .00%",".00","3,750.00","11/05/2013",".00","Invoice",".00","PB","64","61 to 90"," 35","","AF","08/13","","","","","","W","10/03/2013","","","No collection Info","000691","","","100546","G95","","10/01/13","CALL TO ROUTE","   600","    50","140188","3,750.00","    .00",".00","","","","CA","","",
"188","Open","Shipped","MC0001","MODECRAFT","000053","6,300.00","100547","10/01/2013","345895006","ROG + 30","342850","  .00%",".00","6,300.00","11/05/2013",".00","Invoice",".00","PB","64","61 to 90"," 35","","AF","08/13","","","","","","W","10/03/2013","","","No collection Info","000691","","","100547","G95","","10/01/13","CALL TO ROUTE","  1200","   100","140188","6,300.00","    .00",".00","","","","CA","","",
"189","Open","Shipped","MC0001","MODECRAFT","000053","4,725.00","100548","10/01/2013","345895007","ROG + 30","342850","  .00%",".00","4,725.00","11/05/2013",".00","Invoice",".00","PB","64","61 to 90"," 35","","AF","08/13","","","","","","W","10/03/2013","","","No collection Info","000691","","","100548","G95","","10/01/13","CALL TO ROUTE","   900","    75","140188","4,725.00","    .00",".00","","","","CA","","",
"190","Open","Shipped","MC0001","MODECRAFT","000053","6,300.00","100549","10/01/2013","345895008","ROG + 30","342850","  .00%",".00","6,300.00","11/05/2013",".00","Invoice",".00","PB","64","61 to 90"," 35","","AF","08/13","","","","","","W","10/03/2013","","","No collection Info","000691","","","100549","G95","","10/01/13","CALL TO ROUTE","  1200","   100","140188","6,300.00","    .00",".00","","","","CA","","",
"191","Open","Shipped","MC0001","MODECRAFT","000090","3,150.00","100920","11/05/2013","345902803","ROG + 30","506839","  .00%",".00","3,150.00","12/10/2013",".00","Invoice",".00","PB","29","1 to 30"," 35","","AF","10/13","","","","","","W","11/11/2013","","","No collection Info","000691","","","100920","G263","","11/05/13","CALL TO ROUTE","   900","    75","151627","3,150.00","    .00",".00","","","","CA","","",
"192","Open","Shipped","MC0001","MODECRAFT","000090","3,150.00","100921","11/05/2013","345902804","ROG + 30","358206","  .00%",".00","3,150.00","12/10/2013",".00","Invoice",".00","PB","29","1 to 30"," 35","","AF","10/13","","","","","","W","11/11/2013","","","No collection Info","000691","","","100921","G263","","11/05/13","CALL TO ROUTE","   900","    75","151627","3,150.00","    .00",".00","","","","CA","","",
"193","Open","Shipped","MC0001","MODECRAFT","000090","4,200.00","100922","11/05/2013","345902805","ROG + 30","506836","  .00%",".00","4,200.00","12/10/2013",".00","Invoice",".00","PB","29","1 to 30"," 35","","AF","10/13","","","","","","W","11/11/2013","","","No collection Info","000691","","","100922","G263","","11/05/13","CALL TO ROUTE","  1200","   100","151627","4,200.00","    .00",".00","","","","CA","","",
"194","Open","Shipped","MC0001","MODECRAFT","000090","3,150.00","100923","11/05/2013","345902806","ROG + 30","506838","  .00%",".00","3,150.00","12/10/2013",".00","Invoice",".00","PB","29","1 to 30"," 35","","AF","10/13","","","","","","W","11/11/2013","","","No collection Info","000691","","","100923","G263","","11/05/13","CALL TO ROUTE","   900","    75","151627","3,150.00","    .00",".00","","","","CA","","",
"195","Open","Shipped","MC0001","MODECRAFT","000090","3,150.00","100924","11/05/2013","345902807","ROG + 30","506833","  .00%",".00","3,150.00","12/10/2013",".00","Invoice",".00","PB","29","1 to 30"," 35","","AF","10/13","","","","","","W","11/11/2013","","","No collection Info","000691","","","100924","G263","","11/05/13","CALL TO ROUTE","   900","    75","151627","3,150.00","    .00",".00","","","","CA","","",
"196","Open","Shipped","MC0001","MODECRAFT","000090","1,722.00","100929","11/05/2013","345902812","ROG + 30","506834","  .00%",".00","1,722.00","12/10/2013",".00","Invoice",".00","PB","29","1 to 30"," 35","","AF","10/13","","","","","","W","11/11/2013","","","No collection Info","000691","","","100929","G263","","11/05/13","GCTN-GREAT CENT","   492","    41","151627","1,722.00","    .00",".00","","","","CA","","",
"197","Open","Shipped","MR0001","M AND R CHILDRENSWEA","000045","351.16","100296","09/20/2013","2155","NET 30","108685","  .00%","63.16","351.16","10/20/2013",".00","Invoice",".00","PB","80","61 to 90"," 30","","EE","08/13","","","","","","W","09/20/2013","","","In-Dispute","MR0001","","Customer claiming they return the goods","100296","G25","","09/20/13","","    48","     4","2155","351.16","  63.16",".00","","","","NY","","",
"198","Open","Shipped","MR0001","M AND R CHILDRENSWEA","000045","211.70","100297","09/20/2013","2157","NET 30","108685","  .00%","29.30","211.70","10/20/2013",".00","Invoice",".00","PB","80","61 to 90"," 30","","EE","08/13","","","","","","W","09/20/2013","","","In-Dispute","MR0001","","Customer claims  they return back","100297","G26","","09/20/13","","    24","     2","2157","211.70","  29.30",".00","","","","NY","","",
"199","Open","Shipped","MR0001","M AND R CHILDRENSWEA","000079","192.66","100991","10/30/2013","2155","NET 30","507568","  .00%","35.46","192.66","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","EE","10/13","","","","","","W","11/04/2013","","","No collection Info","MR0001","","","100991","G235","","10/30/13","FEDEX GROUND","    24","     2","","192.66","  35.46",".00","","55784138688","","NY","","",
"200","Open","Shipped","NA0001","NATIONAL STORES","000063","2,400.00","100595","10/14/2013","186193-00/274212","ROG + 60","110337","  .00%",".00","2,400.00","12/18/2013",".00","Invoice",".00","PB","21","1 to 30"," 65","","MC","08/13","","","","","","W","10/16/2013","","","No collection Info","0996","","","100595","G167","","10/14/13","CALL TO ROUTE","   240","    20","140541","2,400.00","    .00",".00","","","","TX","","",
"201","Open","Shipped","NA0001","NATIONAL STORES","000063","3,600.00","100596","10/14/2013","186161-00/274212","ROG + 60","110337","  .00%",".00","3,600.00","12/18/2013",".00","Invoice",".00","PB","21","1 to 30"," 65","","MC","08/13","","","","","","W","10/16/2013","","","No collection Info","NA0001","","","100596","G168","","10/14/13","CALL TO ROUTE","   360","    30","140542","3,600.00","    .00",".00","","","","CA","","",
"202","Open","Shipped","NS0001","NORDSTROMS","000110","646.09","101063","11/15/2013","6251619","NET 45","CAN'T WAIT","  .00%","28.69","646.09","12/30/2013",".00","Invoice",".00","PB","9","1 to 30"," 45","","EE","11/13","","","","","","W","12/03/2013","","","No collection Info","NS0001","","","101063","G276","","11/15/13","SURFACE","    18","     2","","646.09","  28.69",".00","","","","WA","","",
"203","Open","Shipped","NV0001","NAVY EXCHANGE NEXCOM","000112","1,620.00","101005","10/25/2013","15002614","NET 30","342817","  .00%",".00","1,620.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 30","","AF","10/13","","","","","","W","12/06/2013","","","No collection Info","NV0001","","","101005","G254","","10/29/13","BEST OVERNITE","   216","    18","152511","1,620.00","    .00",".00","","","","FL","","",
"204","Open","Shipped","NV0001","NAVY EXCHANGE NEXCOM","000089","1,950.00","101006","11/04/2013","BABYTOGS-000135","NET 30","342823","  .00%",".00","1,950.00","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","11/11/2013","","","No collection Info","BTKIDS","","","101006","G253","","11/04/13","CALL TO ROUTE","   156","    13","151070","1,950.00","    .00",".00","","","","FL","","",
"205","Open","Shipped","NV0001","NAVY EXCHANGE NEXCOM","000112","5,034.00","101008","11/04/2013","BABYTOGS-15002644","NET 30","342820","  .00%",".00","5,034.00","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","JB","10/13","","","","","","W","12/06/2013","","","No collection Info","NV0001","","","101008","G256","","11/04/13","BEST OVERNITE","   396","    33","","5,034.00","    .00",".00","","","","FL","","",
"206","Open","Shipped","RA0001","RAQUEL DISCOUNT STOR","000045","175.58","100298","09/20/2013","2155","NET 30","109934","  .00%","31.58","175.58","10/20/2013",".00","Invoice",".00","PB","80","61 to 90"," 30","","EE","08/13","","","","","","W","09/20/2013","","","Contacted Customer","RA0001","","SENT POD 11/21/13","100298","G20","","09/20/13","","    24","     2","2157","175.58","  31.58",".00","","","","NY","","",
"207","Open","Shipped","RA0001","RAQUEL DISCOUNT STOR","000045","211.70","100299","09/20/2013","2157","NET 30","109934","  .00%","29.30","211.70","10/20/2013",".00","Invoice",".00","PB","80","61 to 90"," 30","","EE","08/13","","","","","","W","09/20/2013","","","No collection Info","RA0001","","","100299","G21","","09/20/13","","    24","     2","2157","211.70","  29.30",".00","","","","NY","","",
"208","Open","Shipped","RA0001","RAQUEL DISCOUNT STOR","000079","123.44","100993","10/30/2013","2157","NET 30","109934","  .00%","20.24","123.44","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","EE","10/13","","","","","","W","11/04/2013","","","No collection Info","RA0001","","","100993","G235","","10/30/13","FEDEX GROUND","    12","     1","","123.44","  20.24",".00","","557841386866","","NY","","",
"209","Open","Shipped","RA0001","RAQUEL DISCOUNT STOR","000079","87.79","100992","11/01/2013","2155B","NET 30","507279","  .00%","15.79","87.79","12/01/2013",".00","Invoice",".00","PB","38","31 to 60"," 30","","EE","10/13","","","","","","W","11/04/2013","","","No collection Info","RA0001","","","100992","G235","","10/30/13","FEDEX GROUND","    12","     1","","87.79","  15.79",".00","","","","NY","","",
"210","Open","Shipped","RE0001","RED APPLE STORES INC","000076","7,788.00","100732","10/18/2013","1245877-00","NET 30","433423","  .00%",".00","7,788.00","11/17/2013",".00","Invoice",".00","PB","52","31 to 60"," 30","","EE","10/13","","","","","","W","10/25/2013","","","No collection Info","RE0001","","","100732","G183","","10/18/13","CALL TO ROUTE","  1320","   110","14724","7,788.00","    .00",".00","","","","ON","","",
