"Seq","Status","Account No.","Name","Type","Reference","Amount*","Freight*","Disc%","Discount*","Other*","Balance*","Terms","Salesperson","Date","Factor","Division","Aging","Past Due Status","Due Days","Due Date","Charge Back No.","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Assign. No.","Assign. Date","Reason","Description","Collection","Cust PO","Ship-To","Approval","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","State", 
"225","Open","US0001","US MARINE CORPS","Invoice","100834","532.80",".00","  .00%",".00",".00","532.80","NET 30","JB","11/01/2013","W","PB","64","31 to 60"," 30","12/01/2013","","10/13","","","","","","000109","12/03/2013","","","No collection Info","1242","001405","OK MT","","","100834","","","",
"226","Open","US0001","US MARINE CORPS","Invoice","100835","552.00",".00","  .00%",".00",".00","552.00","NET 30","AF","11/01/2013","W","PB","64","31 to 60"," 30","12/01/2013","","10/13","","","","","","000109","12/03/2013","","","No collection Info","1255","001405","390731","","","100835","","","VA",
"227","Open","US0001","US MARINE CORPS","Invoice","100836","338.40","72.00","  .00%",".00",".00","338.40","NET 30","JB","10/30/2013","W","PB","66","31 to 60"," 30","11/29/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","1247","001406","OK MT","","$12/CTN.","100836","","","SC",
"228","Open","US0001","US MARINE CORPS","Invoice","100837","295.20","36.00","  .00%",".00",".00","295.20","NET 30","AF","10/30/2013","W","PB","66","31 to 60"," 30","11/29/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","1129","001407","OK MT","","$12/CTN","100837","","","VA",
"229","Open","US0001","US MARINE CORPS","Invoice","100838","616.80","84.00","  .00%",".00",".00","616.80","NET 30","AF","10/30/2013","W","PB","66","31 to 60"," 30","11/29/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","1247","001407","405448","","$12/CTN","100838","","","VA",
"230","Open","US0001","US MARINE CORPS","Invoice","100839","295.20","36.00","  .00%",".00",".00","295.20","NET 30","JB","10/14/2013","W","PB","82","31 to 60"," 30","11/13/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","1129","001408","OK MT","","$12/CTN","100839","","","NC",
"231","Open","US0001","US MARINE CORPS","Invoice","100840","338.40","72.00","  .00%",".00",".00","338.40","NET 30","AF","10/30/2013","W","PB","66","31 to 60"," 30","11/29/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","1247","001408","OK MT","","$12/CTN","100840","","","NC",
"232","Open","US0001","US MARINE CORPS","Invoice","100841","295.20","36.00","  .00%",".00",".00","295.20","NET 30","JB","10/30/2013","W","PB","66","31 to 60"," 30","11/29/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","1129","001409","OK MT","","$12/CTN","100841","","","NC",
"233","Open","US0001","US MARINE CORPS","Invoice","100842","168.00","24.00","  .00%",".00",".00","168.00","NET 30","AF","10/30/2013","W","PB","66","31 to 60"," 30","11/29/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","1247","001411","OK MT","","$12/CTN","100842","","","CA",
"234","Open","WD0001","WORLDWIDE DISTRIBUTO","Invoice","100844","733.39","70.99","  .00%",".00",".00","733.39","NET 30","EE","10/25/2013","W","PB","71","31 to 60"," 30","11/24/2013","","10/13","","","","","","000080","11/04/2013","","","No collection Info","34-01816","WD0003","503067","","","100844","","","UT",
"235","Open","WD0001","WORLDWIDE DISTRIBUTO","Invoice","100845","220.24","28.24","  .00%",".00",".00","220.24","NET 30","EE","10/25/2013","W","PB","71","31 to 60"," 30","11/24/2013","","10/13","","","","","","000088","11/04/2013","","","No collection Info","138-018168","WD0004","503068","","","100845","","","NE",
"236","Open","WD0001","WORLDWIDE DISTRIBUTO","Invoice","100846","178.71","15.51","  .00%",".00",".00","178.71","NET 30","EE","10/25/2013","W","PB","71","31 to 60"," 30","11/24/2013","","10/13","","","","","","000088","11/04/2013","","","No collection Info","140-018168","WD0006","503071","","","100846","","","SD",
"237","Open","WD0001","WORLDWIDE DISTRIBUTO","Invoice","100847","4,950.22","457.42","  .00%",".00",".00","4,950.22","NET 30","EE","10/25/2013","W","PB","71","31 to 60"," 30","11/24/2013","","10/13","","","","","","000082","11/04/2013","","","No collection Info","1","WD0007","503069","","","100847","","","WA",
"238","Open","LO0001","LORD AND TAYLOR","Invoice","100886","345.60",".00","  .00%",".00",".00","345.60","NET 30","AF","10/18/2013","W","PB","78","31 to 60"," 30","11/17/2013","","10/13","","","","","","000085","11/04/2013","","","No collection Info","953909850082","001481","376672","","","100886","","","PA",
"239","Open","LO0001","LORD AND TAYLOR","Invoice","100887","622.08",".00","  .00%",".00",".00","622.08","NET 30","AF","10/18/2013","W","PB","78","31 to 60"," 30","11/17/2013","","10/13","","","","","","000085","11/04/2013","","","No collection Info","953909850082","001482","497488","","","100887","","","PA",
"240","Open","LO0001","LORD AND TAYLOR","Invoice","100888","342.84",".00","  .00%",".00",".00","342.84","NET 30","AF","10/18/2013","W","PB","78","31 to 60"," 30","11/17/2013","","10/13","","","","","","000085","11/04/2013","","","No collection Info","953987230082","001482","497488","","","100888","","","PA",
"241","Open","LO0001","LORD AND TAYLOR","Invoice","100889","182.40",".00","  .00%",".00",".00","182.40","NET 30","AF","10/18/2013","W","PB","78","31 to 60"," 30","11/17/2013","","10/13","","","","","","000085","11/04/2013","","","No collection Info","954225150082","001482","497488","","","100889","","","PA",
"242","Open","LO0001","LORD AND TAYLOR","Invoice","100890","622.08",".00","  .00%",".00",".00","622.08","NET 30","AF","10/18/2013","W","PB","78","31 to 60"," 30","11/17/2013","","10/13","","","","","","000086","11/04/2013","","","No collection Info","953909850082","001483","497488","","","100890","","","PA",
"243","Open","LO0001","LORD AND TAYLOR","Invoice","100891","138.24",".00","  .00%",".00",".00","138.24","NET 30","AF","10/18/2013","W","PB","78","31 to 60"," 30","11/17/2013","","10/13","","","","","","000086","11/04/2013","","","No collection Info","953909850082","001486","376672","","","100891","","","PA",
"244","Open","LO0001","LORD AND TAYLOR","Invoice","100892","138.24",".00","  .00%",".00",".00","138.24","NET 30","AF","10/18/2013","W","PB","78","31 to 60"," 30","11/17/2013","","10/13","","","","","","000086","11/04/2013","","","No collection Info","953909850082","001487","376672","","","100892","","","PA",
"245","Open","LO0001","LORD AND TAYLOR","Invoice","100893","182.40",".00","  .00%",".00",".00","182.40","NET 30","AF","10/18/2013","W","PB","78","31 to 60"," 30","11/17/2013","","10/13","","","","","","000086","11/04/2013","","","No collection Info","954225150082","001487","497488","","","100893","","","PA",
"246","Open","LO0001","LORD AND TAYLOR","Invoice","100894","138.24",".00","  .00%",".00",".00","138.24","NET 30","AF","10/18/2013","W","PB","78","31 to 60"," 30","11/17/2013","","10/13","","","","","","000086","11/04/2013","","","No collection Info","953909850082","001491","376672","","","100894","","","PA",
"247","Open","LO0001","LORD AND TAYLOR","Invoice","100895","138.24",".00","  .00%",".00",".00","138.24","NET 30","AF","10/18/2013","W","PB","78","31 to 60"," 30","11/17/2013","","10/13","","","","","","000086","11/04/2013","","","No collection Info","953909850082","001505","376672","","","100895","","","PA",
"248","Open","LO0001","LORD AND TAYLOR","Invoice","100896","547.20",".00","  .00%",".00",".00","547.20","NET 30","AF","10/18/2013","W","PB","78","31 to 60"," 30","11/17/2013","","10/13","","","","","","000086","11/04/2013","","","No collection Info","953987800082","001528","497488","","","100896","","","PA",
"249","Open","KD0002","KIDS UNLIMITED","Invoice","100903","29.30","29.30","  .00%",".00",".00","29.30","NET 30","EE","10/16/2013","W","PB","80","31 to 60"," 30","11/15/2013","","10/13","","","","","","","","","","No collection Info","72513","KD0002","277753","","LINE 000142 VOIDED.  (STYLE 9892537)","100903","","","MA",
"250","Open","US0001","US MARINE CORPS","Invoice","100908","167.79","38.19","  .00%",".00",".00","167.79","NET 30","AF","10/30/2013","W","PB","66","31 to 60"," 30","11/29/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","1128","001404","503639","","","100908","","","",
"251","Open","US0001","US MARINE CORPS","Invoice","100909","167.79","38.19","  .00%",".00",".00","167.79","NET 30","AF","11/01/2013","W","PB","64","31 to 60"," 30","12/01/2013","","10/13","","","","","","000109","12/03/2013","","","No collection Info","1123","001405","503636","","","100909","","","VA",
"252","Open","US0001","US MARINE CORPS","Invoice","100910","169.68","40.08","  .00%",".00",".00","169.68","NET 30","JB","10/30/2013","W","PB","66","31 to 60"," 30","11/29/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","1129","001406","503639","","","100910","","","SC",
"253","Open","WW0001","WISHING WELL","Invoice","100911","310.66","40.66","  .00%",".00",".00","310.66","NET 30","JC","10/25/2013","W","PB","71","31 to 60"," 30","11/24/2013","","10/13","","","","","","000080","11/04/2013","","","No collection Info","31113","WW0001","391219","","","100911","","","IA",
"254","Open","AJ0001","AVE. J STORES","Invoice","100915","597.18","90.18","  .00%",".00",".00","597.18","NET 60","EE","10/25/2013","W","PB","41","1 to 30"," 60","12/24/2013","","10/13","","","","","","000080","11/04/2013","","","No collection Info","101513","AJ0001","589492","","","100915","","","NY",
"255","Open","MC0001","MODECRAFT","Invoice","100920","3,150.00",".00","  .00%",".00",".00","3,150.00","ROG + 30","AF","11/05/2013","W","PB","55","1 to 30"," 35","12/10/2013","","10/13","","","","","","000090","11/11/2013","","","No collection Info","345902803","000691","506839","","","100920","","","CA",
"256","Open","MC0001","MODECRAFT","Invoice","100921","3,150.00",".00","  .00%",".00",".00","3,150.00","ROG + 30","AF","11/05/2013","W","PB","55","1 to 30"," 35","12/10/2013","","10/13","","","","","","000090","11/11/2013","","","No collection Info","345902804","000691","358206","","","100921","","","CA",
"257","Open","MC0001","MODECRAFT","Invoice","100922","4,200.00",".00","  .00%",".00",".00","4,200.00","ROG + 30","AF","11/05/2013","W","PB","55","1 to 30"," 35","12/10/2013","","10/13","","","","","","000090","11/11/2013","","","No collection Info","345902805","000691","506836","","","100922","","","CA",
"258","Open","MC0001","MODECRAFT","Invoice","100923","3,150.00",".00","  .00%",".00",".00","3,150.00","ROG + 30","AF","11/05/2013","W","PB","55","1 to 30"," 35","12/10/2013","","10/13","","","","","","000090","11/11/2013","","","No collection Info","345902806","000691","506838","","","100923","","","CA",
"259","Open","MC0001","MODECRAFT","Invoice","100924","3,150.00",".00","  .00%",".00",".00","3,150.00","ROG + 30","AF","11/05/2013","W","PB","55","1 to 30"," 35","12/10/2013","","10/13","","","","","","000090","11/11/2013","","","No collection Info","345902807","000691","506833","","","100924","","","CA",
"260","Open","MC0001","MODECRAFT","Invoice","100929","1,722.00",".00","  .00%",".00",".00","1,722.00","ROG + 30","AF","11/05/2013","W","PB","55","1 to 30"," 35","12/10/2013","","10/13","","","","","","000090","11/11/2013","","","No collection Info","345902812","000691","506834","","","100929","","","CA",
"261","Open","ST0001","STAGE STORES INC","Invoice","100940","156.00",".00","  .00%",".00",".00","156.00","NET 45","AF","11/07/2013","W","PB","43","1 to 30"," 45","12/22/2013","","10/13","","","","","","000091","11/11/2013","","","No collection Info","20024496","000707","591202","","","100940","","","TX",
"262","Open","ST0001","STAGE STORES INC","Invoice","100942","984.00",".00","  .00%",".00",".00","984.00","NET 45","AF","11/07/2013","W","PB","43","1 to 30"," 45","12/22/2013","","10/13","","","","","","000091","11/11/2013","","","No collection Info","20024498","000707","591202","","LINE 0007E8 VOIDED.  (STYLE 1360D00)","100942","","","TX",
"263","Open","ST0001","STAGE STORES INC","Invoice","100951","19.50",".00","  .00%",".00",".00","19.50","NET 45","AF","12/27/2013","W","PB","","Current"," 45","02/11/2014","","10/13","","","","","","000130","01/06/2014","","","No collection Info","20024496","000707","591202","","","100951","","","TX",
"264","Open","ST0001","STAGE STORES INC","Invoice","100954","256.50",".00","  .00%",".00",".00","256.50","NET 45","AF","12/27/2013","W","PB","","Current"," 45","02/11/2014","","10/13","","","","","","000130","01/06/2014","","","No collection Info","20025008","000707","591202","","","100954","","","TX",
"265","Open","HB0001","H.E.B. GROC CO","Invoice","100961","600.00",".00","  .00%",".00",".00","600.00","2% NET 10 EOM","EE","10/21/2013","W","PB","55","1 to 30","  0","12/10/2013","","10/13","","","","","","000111","12/03/2013","","","No collection Info","48X280851","HBBULK","TESTING","","","100961","","","TX",
"266","Open","KO0001","OK KIDS","Invoice","100973","9,036.00",".00","  .00%",".00",".00","9,036.00","Net 30","EE","10/23/2013","W","PB","103","61 to 90","  0","10/23/2013","","10/13","","","","","","000076","10/25/2013","","","No collection Info","DIRECT082213","KO0001","","","","100973","","","CN",
"267","Open","BR0001","BEYOND THE RACK ENTE","Invoice","100976","3,928.20",".00","  .00%",".00",".00","3,928.20","NET 30","EE","10/30/2013","W","PB","96","61 to 90","  0","10/30/2013","","10/13","","","","","","","","","","No collection Info","XMASPO134624","BR0002","75% CBD BA","","","100976","","","QC",
"268","Open","SE0001","SEARS","Invoice","100978","1,380.00",".00","  .00%",".00",".00","1,380.00","NET 30","DS","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000089","11/11/2013","","","No collection Info","08780694636","SE0002","NONE (EC)","","","100978","","","",
"269","Open","SE0001","SEARS","Invoice","100979","240.00",".00","  .00%",".00",".00","240.00","NET 30","DS","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000089","11/11/2013","","","No collection Info","08936679136","SE0003","NONE (EC)","","","100979","","","",
"270","Open","SE0001","SEARS","Invoice","100980","2,430.00",".00","  .00%",".00",".00","2,430.00","NET 30","DS","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000089","11/11/2013","","","No collection Info","08937656276","SE0004","NONE (EC)","","","100980","","","",
"271","Open","GA0001","GARLANS FASHION APPA","Invoice","100982","197.62",".00","  .00%",".00","-34.88","197.62","NET 30","BB","11/01/2013","W","PB","64","31 to 60"," 30","12/01/2013","","10/13","","","","","","000090","11/11/2013","","","No collection Info","11382","GA0001","108618","","","100982","","","CA",
"272","Open","GA0001","GARLANS FASHION APPA","Invoice","100983","91.80",".00","  .00%",".00","-16.20","91.80","NET 30","BB","11/01/2013","W","PB","64","31 to 60"," 30","12/01/2013","","10/13","","","","","","000090","11/11/2013","","","No collection Info","11383","GA0001","108618","","","100983","","","CA",
"273","Open","BH0001","BATH AND LINENS OF S","Invoice","100986",".00",".00","  .00%",".00",".00",".00","NET 30","EE","10/25/2013","W","PB","71","31 to 60"," 30","11/24/2013","","10/13","","","","","","","","","","No collection Info","81413","BH0001","380463","","LINE 00031Q VOIDED.  (STYLE 9892538)","100986","","","NY",
"274","Open","EL0000","ELBERT DEPT STORE","Invoice","100987","108.00",".00","  .00%",".00",".00","108.00","NET 30","JC","10/25/2013","W","PB","71","31 to 60"," 30","11/24/2013","","10/13","","","","","","","","","","No collection Info","03132013","EL0000","391359","","","100987","","","MO",
"275","Open","GA0001","GARLANS FASHION APPA","Invoice","100988",".00",".00","  .00%",".00",".00",".00","NET 30","BB","10/25/2013","W","PB","71","31 to 60"," 30","11/24/2013","","10/13","","","","","","","","","","No collection Info","11383","GA0001","108618","","LINE 0000TU VOIDED.  (STYLE 7096537","100988","","","CA",
"276","Open","MR0001","M AND R CHILDRENSWEA","Invoice","100991","192.66","35.46","  .00%",".00",".00","192.66","NET 30","EE","10/30/2013","W","PB","66","31 to 60"," 30","11/29/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","2155","MR0001","507568","","","100991","","","NY",
"277","Open","RA0001","RAQUEL DISCOUNT STOR","Invoice","100992","87.79","15.79","  .00%",".00",".00","87.79","NET 30","EE","11/01/2013","W","PB","64","31 to 60"," 30","12/01/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","2155B","RA0001","507279","","","100992","","","NY",
"278","Open","RA0001","RAQUEL DISCOUNT STOR","Invoice","100993","123.44","20.24","  .00%",".00",".00","123.44","NET 30","EE","10/30/2013","W","PB","66","31 to 60"," 30","11/29/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","2157","RA0001","109934","","","100993","","","NY",
"279","Open","ST0001","STAGE STORES INC","Invoice","100994","243.00",".00","  .00%",".00",".00","243.00","NET 45","AF","11/04/2013","W","PB","46","1 to 30"," 45","12/19/2013","","10/13","","","","","","000087","11/04/2013","","","No collection Info","20024494","000707","591202","","","100994","","","TX",
"280","Open","ST0001","STAGE STORES INC","Invoice","100996","216.00",".00","  .00%",".00",".00","216.00","NET 45","AF","10/25/2013","W","PB","56","1 to 30"," 45","12/09/2013","","10/13","","","","","","","","","","No collection Info","20024498","000707","591202","","LINE 0007TZ VOIDED.  (STYLE 1360D00)","100996","","","TX",
"281","Open","WD0001","WORLDWIDE DISTRIBUTO","Invoice","100997","158.34","14.34","  .00%",".00",".00","158.34","NET 30","EE","10/30/2013","W","PB","66","31 to 60"," 30","11/29/2013","","10/13","","","","","","000079","11/04/2013","","","No collection Info","139-018168","WD0005","503070","","","100997","","","SD",
"282","Open","ST0001","STAGE STORES INC","Invoice","100998","282.00",".00","  .00%",".00",".00","282.00","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000087","11/04/2013","","","No collection Info","20024489","000707","591202","","","100998","","","TX",
"283","Open","ST0001","STAGE STORES INC","Invoice","100999","1,485.00",".00","  .00%",".00",".00","1,485.00","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000108","12/03/2013","","","No collection Info","20024491","000707","591202","","","100999","","","TX",
"284","Open","GO0001","GONZALEZ ASSOCIATES","Invoice","101000","360.00",".00","  .00%",".00",".00","360.00","NET 60","EE","11/12/2013","W","PB","22","Current"," 60","01/12/2014","","10/13","","","","","","000107","12/02/2013","","","No collection Info","COS-3824","GO0001","549149 MT","","","101000","","","CA",
"285","Open","GO0001","GONZALEZ ASSOCIATES","Invoice","101001","1,060.00",".00","  .00%",".00",".00","1,060.00","NET 60","EE","11/12/2013","W","PB","22","Current"," 60","01/12/2014","","10/13","","","","","","000107","12/02/2013","","","No collection Info","GUA-3822","GO0001","549149 MT","","","101001","","","CA",
"286","Open","GO0001","GONZALEZ ASSOCIATES","Invoice","101002","740.00",".00","  .00%",".00",".00","740.00","NET 60","EE","11/12/2013","W","PB","22","Current"," 60","01/12/2014","","10/13","","","","","","000107","12/02/2013","","","No collection Info","NIC-3823","GO0001","569755","","","101002","","","CA",
"287","Open","GO0001","GONZALEZ ASSOCIATES","Invoice","101003","1,850.00",".00","  .00%",".00",".00","1,850.00","NET 60","EE","11/12/2013","W","PB","22","Current"," 60","01/12/2014","","10/13","","","","","","000107","12/02/2013","","","No collection Info","SAL-3821","GO0001","549149 MT","","","101003","","","CA",
"288","Open","AZ0001","AMAZON.COM","Invoice","101004","20,088.00",".00","  .00%",".00",".00","20,088.00","","EE","11/04/2013","W","PB","30","1 to 30"," 60","01/04/2014","","10/13","","","","","","","","","","No collection Info","V4908364","000020","","","","101004","","","KY",
"289","Open","NV0001","NAVY EXCHANGE NEXCOM","Invoice","101005","1,620.00",".00","  .00%",".00",".00","1,620.00","NET 30","AF","10/25/2013","W","PB","71","31 to 60"," 30","11/24/2013","","10/13","","","","","","000112","12/06/2013","","","No collection Info","15002614","NV0001","342817","","","101005","","","FL",
"290","Open","NV0001","NAVY EXCHANGE NEXCOM","Invoice","101006","1,950.00",".00","  .00%",".00",".00","1,950.00","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000089","11/11/2013","","","No collection Info","BABYTOGS-000135","BTKIDS","342823","","","101006","","","FL",
"291","Open","NV0001","NAVY EXCHANGE NEXCOM","Invoice","101008","5,034.00",".00","  .00%",".00",".00","5,034.00","NET 30","JB","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000112","12/06/2013","","","No collection Info","BABYTOGS-15002644","NV0001","342820","","","101008","","","FL",
"292","Open","MA0001","THE MARMAXX GROUP","Invoice","101009","4,387.50",".00","  .00%",".00",".00","4,387.50","NET 60","AF","10/30/2013","W","PB","36","1 to 30"," 60","12/29/2013","","10/13","","","","","","000108","12/03/2013","","","No collection Info","01 879799","MA0881","606402","","","101009","","","NV",
"293","Open","TJ0001","TJ MAXX","Invoice","101010","1,537.50",".00","  .00%",".00",".00","1,537.50","NET 60","AF","10/30/2013","W","PB","36","1 to 30"," 60","12/29/2013","","10/13","","","","","","","","","","No collection Info","40 879801","TJ0894","605068","","","101010","","","NC",
"294","Open","US0001","US MARINE CORPS","Invoice","101011","445.00","13.00","  .00%",".00",".00","445.00","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1196","001399","591974","","AS PER FREIGHT CALCULATOR","101011","","","AZ",
"295","Open","US0001","US MARINE CORPS","Invoice","101012","466.60","13.00","  .00%",".00",".00","466.60","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1200","001399","591974","","AS PER FREIGHT CALCULATOR","101012","","","CA",
"296","Open","US0001","US MARINE CORPS","Invoice","101013","565.53","13.53","  .00%",".00",".00","565.53","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1256","001399","591974","","AS PER FREIGHT CALCULATOR","101013","","","CA",
"297","Open","US0001","US MARINE CORPS","Invoice","101014","321.72","9.72","  .00%",".00",".00","321.72","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1277","001399","591974","","AS PER FREIGHT CALCULATOR","101014","","","CA",
"298","Open","US0001","US MARINE CORPS","Invoice","101015","446.28","14.28","  .00%",".00",".00","446.28","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1196","001401","591974","","AS PER FREIGHT CALCULATOR","101015","","","NC",
"299","Open","US0001","US MARINE CORPS","Invoice","101016","313.98","11.58","  .00%",".00",".00","313.98","NET 30","AF","11/06/2013","W","PB","59","31 to 60"," 30","12/06/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1200","001401","591974","","AS PER FREIGHT CALCULATOR","101016","","","CA",
"300","Open","US0001","US MARINE CORPS","Invoice","101017","565.53","13.53","  .00%",".00",".00","565.53","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1256","001401","591974","","AS PER FREIGHT CALCULATOR","101017","","","CA",
"301","Open","US0001","US MARINE CORPS","Invoice","101018","321.72","9.72","  .00%",".00",".00","321.72","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1277","001401","591974","","AS PER FREIGHT CALCULATOR","101018","","","CA",
"302","Open","US0001","US MARINE CORPS","Invoice","101019","299.58","11.58","  .00%",".00",".00","299.58","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1196","001402","591974","","AS PER FREIGHT CALCULATOR","101019","","","CA",
"303","Open","US0001","US MARINE CORPS","Invoice","101020","313.98","11.58","  .00%",".00",".00","313.98","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1200","001402","591974","","AS PER FREIGHT CALCULATOR","101020","","","CA",
"304","Open","US0001","US MARINE CORPS","Invoice","101021","299.58","11.58","  .00%",".00",".00","299.58","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000107","12/02/2013","","","No collection Info","1256","001402","591974","","AS PER FREIGHT CALCULATOR","101021","","","CA",
"305","Open","US0001","US MARINE CORPS","Invoice","101022","165.76","14.56","  .00%",".00",".00","165.76","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1200","001406","591974","","AS PER FREIGHT CALCULATOR","101022","","","SC",
"306","Open","US0001","US MARINE CORPS","Invoice","101023","231.67","21.67","  .00%",".00",".00","231.67","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1256","001406","591974","","AS PER FREIGHT CALCULATOR","101023","","","SC",
"307","Open","US0001","US MARINE CORPS","Invoice","101024","319.00","31.00","  .00%",".00",".00","319.00","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1196","001407","591974","","AS PER FREIGHT CALCULATOR","101024","","","VA",
"308","Open","US0001","US MARINE CORPS","Invoice","101025","333.40","31.00","  .00%",".00",".00","333.40","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1200","001407","591974","","AS PER FREIGHT CALCULATOR","101025","","","VA",
"309","Open","US0001","US MARINE CORPS","Invoice","101026","594.59","42.59","  .00%",".00",".00","594.59","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1256","001407","591974","","AS PER FREIGHT CALCULATOR","101026","","","VA",
"310","Open","US0001","US MARINE CORPS","Invoice","101027","334.54","22.54","  .00%",".00",".00","334.54","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1277","001407","591974","","AS PER FREIGHT CALCULATOR","101027","","","VA",
"311","Open","US0001","US MARINE CORPS","Invoice","101028","165.76","14.56","  .00%",".00",".00","165.76","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1200","001408","591974","","AS PER FREIGHT CALCULATOR","101028","","","NC",
"312","Open","US0001","US MARINE CORPS","Invoice","101029","231.67","21.67","  .00%",".00",".00","231.67","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1256","001408","591974","","AS PER FREIGHT CALCULATOR","101029","","","NC",
"313","Open","US0001","US MARINE CORPS","Invoice","101030","625.60","49.60","  .00%",".00",".00","625.60","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1196","001409","591574","","AS PER FREIGHT CALCULATOR","101030","","","NC",
"314","Open","US0001","US MARINE CORPS","Invoice","101031","332.44","30.04","  .00%",".00",".00","332.44","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1200","001409","591974","","AS PER FREIGHT CALCULATOR","101031","","","NC",
"315","Open","US0001","US MARINE CORPS","Invoice","101032","594.59","42.59","  .00%",".00",".00","594.59","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1256","001409","591974","","AS PER FREIGHT CALCULATOR","101032","","","NC",
"316","Open","US0001","US MARINE CORPS","Invoice","101033","500.83","32.83","  .00%",".00",".00","500.83","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000106","12/02/2013","","","No collection Info","1277","001409","591974","","AS PER FREIGHT CALCULATOR","101033","","","NC",
"317","Open","US0001","US MARINE CORPS","Invoice","101034","152.95","8.95","  .00%",".00",".00","152.95","NET 30","AF","11/04/2013","W","PB","61","31 to 60"," 30","12/04/2013","","10/13","","","","","","000109","12/03/2013","","","No collection Info","1196","001411","591974","","AS PER FREIGHT CALCULATOR","101034","","","CA",
